post_id,platform,timestamp,text,likes,comments,shares,impressions,clicks,followers
POST_00001,linkedin,2024-03-17 09:01:00,5 tips to improve your social media strategy today. #DataScience #MachineLearning,115,12,9,9522,56,39698
POST_00002,facebook,2024-03-17 12:45:00,Why social media is transforming the industry in 2024. #Tech #StartupLife #AI,330,34,39,11228,96,46753
POST_00003,linkedin,2024-03-17 18:06:00,5 tips to improve your growth hacking strategy today. #StartupLife #AI #SocialMedia #Tech,67,13,9,2205,38,25807
POST_00004,twitter,2024-03-17 12:45:00,Our team just launched a new AI tool — check it out! #Python #StartupLife #MachineLearning #ContentMarketing,70,18,2,1684,29,7619
POST_00005,twitter,2024-03-17 14:44:00,Big news: we've crossed 10k users with our content marketing platform. #Python #DataScience #SocialMedia #Tech,391,51,46,15445,107,42943
POST_00006,linkedin,2024-03-17 08:51:00,Our team just launched a new machine learning tool — check it out! #MachineLearning #Python #GrowthHacking,868,182,33,12072,119,43954
POST_00007,linkedin,2024-03-17 20:34:00,Lessons learned from 1 year of machine learning. #ContentMarketing #GrowthHacking #Python #MachineLearning,190,16,7,2713,78,6957
POST_00008,facebook,2024-03-17 09:24:00,5 tips to improve your brand storytelling strategy today. #StartupLife #Productivity #AI #GrowthHacking,1280,309,82,20469,312,45676
POST_00009,linkedin,2024-03-16 19:00:00,How we grew 3x using content marketing techniques. #MachineLearning #StartupLife #Python #Tech,218,39,4,3391,55,11587
POST_00010,linkedin,2024-03-16 08:07:00,5 tips to improve your product development strategy today. #AI #Python,168,49,14,2508,23,6613
POST_00011,instagram,2024-03-16 19:35:00,Our team just launched a new product development tool — check it out! #Tech #ContentMarketing #Python #StartupLife,723,153,55,9080,209,47723
POST_00012,instagram,2024-03-16 09:15:00,Our team just launched a new data science tool — check it out! #AI #Productivity #Python,6,0,0,120,4,1471
POST_00013,linkedin,2024-03-15 20:15:00,Lessons learned from 1 year of brand storytelling. #Productivity #DataScience,453,44,14,6822,137,16925
POST_00014,facebook,2024-03-15 18:26:00,How we grew 3x using AI techniques. #MachineLearning #AI #ContentMarketing #GrowthHacking,30,4,2,1321,19,8161
POST_00015,twitter,2024-03-15 12:55:00,Our team just launched a new brand storytelling tool — check it out! #MachineLearning #AI #Productivity #SocialMedia,121,32,16,2771,29,11899
POST_00016,facebook,2024-03-14 18:16:00,Our team just launched a new product development tool — check it out! #Productivity #SocialMedia #DataScience,42,9,1,3025,48,20445
POST_00017,facebook,2024-03-14 08:37:00,Why content marketing is transforming the industry in 2024. #Productivity #MachineLearning,99,10,3,1744,63,5490
POST_00018,twitter,2024-03-14 12:37:00,Big news: we've crossed 10k users with our data science platform. #Tech #Productivity #GrowthHacking,161,18,5,5054,139,14386
POST_00019,twitter,2024-03-13 17:59:00,Our team just launched a new AI tool — check it out! #Tech #MachineLearning #Productivity,435,117,58,5783,103,34153
POST_00020,linkedin,2024-03-13 10:28:00,Big news: we've crossed 10k users with our AI platform. #Productivity #StartupLife #MachineLearning #SocialMedia,238,21,13,3856,47,8564
POST_00021,linkedin,2024-03-13 17:13:00,Big news: we've crossed 10k users with our brand storytelling platform. #AI #MachineLearning #ContentMarketing,12,2,0,200,6,3889
POST_00022,facebook,2024-03-13 20:45:00,Excited to share our latest work on AI! #MachineLearning #DataScience #innovation,160,13,9,7864,286,25196
POST_00023,linkedin,2024-03-13 08:57:00,Thread: everything you need to know about social media in 2024. #Python #MachineLearning #GrowthHacking #ContentMarketing,1207,131,49,16139,532,41675
POST_00024,facebook,2024-03-13 10:56:00,Our team just launched a new AI tool — check it out! #GrowthHacking #ContentMarketing,132,19,3,2248,48,18485
POST_00025,linkedin,2024-03-12 19:22:00,Thread: everything you need to know about social media in 2024. #AI #Python,58,14,3,3947,90,22512
POST_00026,twitter,2024-03-12 20:21:00,5 tips to improve your data science strategy today. #DataScience #StartupLife #AI,600,77,59,9845,225,40096
POST_00027,instagram,2024-03-12 18:57:00,Our team just launched a new product development tool — check it out! #ContentMarketing #AI,463,129,46,6070,171,24869
POST_00028,linkedin,2024-03-12 09:46:00,Big news: we've crossed 10k users with our product development platform. #ContentMarketing #GrowthHacking #Tech #Productivity,157,44,16,4005,146,37333
POST_00029,twitter,2024-03-11 14:25:00,Lessons learned from 1 year of product development. #Python #ContentMarketing #GrowthHacking,186,31,25,7457,245,29952
POST_00030,twitter,2024-03-11 10:42:00,Our team just launched a new product development tool — check it out! #Tech #GrowthHacking #MachineLearning #ContentMarketing,568,49,14,8553,337,45092
POST_00031,facebook,2024-03-11 09:29:00,Why social media is transforming the industry in 2024. #ContentMarketing #SocialMedia #Tech #MachineLearning,1146,303,154,15813,509,43995
POST_00032,facebook,2024-03-11 12:11:00,Lessons learned from 1 year of AI. #Python #MachineLearning #SocialMedia #Productivity,635,82,75,12933,264,44750
POST_00033,facebook,2024-03-11 20:27:00,Our team just launched a new content marketing tool — check it out! #SocialMedia #Tech #StartupLife #ContentMarketing,481,82,24,7479,152,42789
POST_00034,linkedin,2024-03-11 14:15:00,Why growth hacking is transforming the industry in 2024. #Productivity #MachineLearning #DataScience,74,7,5,3592,59,16155
POST_00035,twitter,2024-03-11 19:26:00,Lessons learned from 1 year of social media. #ContentMarketing #AI #Tech,20,2,2,657,22,1386
POST_00036,instagram,2024-03-10 20:51:00,Lessons learned from 1 year of brand storytelling. #StartupLife #ContentMarketing,37,9,4,652,22,2902
POST_00037,twitter,2024-03-10 10:39:00,Thread: everything you need to know about machine learning in 2024. #Tech #AI #MachineLearning #GrowthHacking,98,11,6,4353,91,9893
POST_00038,facebook,2024-03-10 17:48:00,Excited to share our latest work on product development! #StartupLife #MachineLearning #SocialMedia #innovation,204,21,5,2669,102,36351
